Date : 2025-06-07 10:55:24
Directory : e:\cnc_clone\src
Total : 112 files,  25212 codes, 1053 comments, 2291 blanks, all 28556 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         82 |     17,776 |        833 |      2,135 |     20,744 |
| JavaScript |         20 |      7,225 |        187 |        122 |      7,534 |
| SCSS       |          5 |        157 |         27 |         27 |        211 |
| Markdown   |          1 |         34 |          0 |          7 |         41 |
| XML        |          4 |         20 |          6 |          0 |         26 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |        112 |     25,212 |      1,053 |      2,291 |     28,556 |
| . (Files)                                                                 |          4 |        252 |         37 |         49 |        338 |
| api                                                                       |          2 |        100 |         88 |         18 |        206 |
| assets                                                                    |          9 |        177 |         33 |         27 |        237 |
| assets\images                                                             |          4 |         20 |          6 |          0 |         26 |
| assets\styles                                                             |          5 |        157 |         27 |         27 |        211 |
| components                                                                |         71 |     21,410 |        718 |      1,757 |     23,885 |
| components (Files)                                                        |          2 |        448 |         23 |         68 |        539 |
| components\Cert                                                           |          1 |          0 |          0 |          1 |          1 |
| components\CouponCenter                                                   |          3 |        299 |          8 |         42 |        349 |
| components\CustomerGuidance                                               |          5 |        182 |          7 |         13 |        202 |
| components\Home                                                           |          8 |      2,408 |         78 |        281 |      2,767 |
| components\Member                                                         |          6 |        764 |          6 |         74 |        844 |
| components\NavHeader                                                      |          7 |      1,699 |        137 |        203 |      2,039 |
| components\NavHeader (Files)                                              |          3 |      1,065 |         98 |        106 |      1,269 |
| components\NavHeader\ServiceGuidance                                      |          4 |        634 |         39 |         97 |        770 |
| components\Order                                                          |          5 |        935 |         83 |         89 |      1,107 |
| components\PriceInquiry                                                   |         13 |      8,259 |         87 |        400 |      8,746 |
| components\SignIn                                                         |         12 |      2,260 |        136 |        268 |      2,664 |
| components\SignUp                                                         |          1 |        202 |         15 |         33 |        250 |
| components\common                                                         |          2 |        315 |         21 |         56 |        392 |
| components\quote                                                          |          6 |      3,639 |        117 |        229 |      3,985 |
| directives                                                                |          1 |          0 |          0 |          1 |          1 |
| router                                                                    |          1 |        171 |         29 |         12 |        212 |
| store                                                                     |          8 |        362 |         31 |         54 |        447 |
| store (Files)                                                             |          4 |         77 |          5 |         14 |         96 |
| store\modules                                                             |          4 |        285 |         26 |         40 |        351 |
| utils                                                                     |          2 |         75 |          8 |         10 |         93 |
| views                                                                     |         14 |      2,665 |        109 |        363 |      3,137 |
| views (Files)                                                             |          1 |         99 |          0 |         17 |        116 |
| views\Admin                                                               |          1 |        129 |         11 |         16 |        156 |
| views\Home                                                                |          1 |         35 |          8 |          8 |         51 |
| views\Members                                                             |          1 |         29 |          0 |          3 |         32 |
| views\NavHeader                                                           |          5 |      1,519 |         49 |        189 |      1,757 |
| views\NavHeader (Files)                                                   |          1 |        177 |          6 |         24 |        207 |
| views\NavHeader\About                                                     |          2 |        717 |         24 |         79 |        820 |
| views\NavHeader\Contact                                                   |          1 |        512 |         15 |         68 |        595 |
| views\NavHeader\CustomerGuidance                                          |          1 |        113 |          4 |         18 |        135 |
| views\Order                                                               |          3 |        463 |         24 |         68 |        555 |
| views\Profile                                                             |          1 |        259 |          6 |         36 |        301 |
| views\auth                                                                |          1 |        132 |         11 |         26 |        169 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\cnc_clone\src\.eslintrc.js                                             | JavaScript |         22 |          0 |          0 |         22 |
| e:\cnc_clone\src\App.vue                                                  | Vue        |        158 |         14 |         27 |        199 |
| e:\cnc_clone\src\Readme.md                                                | Markdown   |         34 |          0 |          7 |         41 |
| e:\cnc_clone\src\api\auth.js                                              | JavaScript |        100 |         88 |         17 |        205 |
| e:\cnc_clone\src\api\index.js                                             | JavaScript |          0 |          0 |          1 |          1 |
| e:\cnc_clone\src\assets\images\eye-close.svg                              | XML        |          5 |          3 |          0 |          8 |
| e:\cnc_clone\src\assets\images\eye-open.svg                               | XML        |          5 |          3 |          0 |          8 |
| e:\cnc_clone\src\assets\images\google-logo.svg                            | XML        |          6 |          0 |          0 |          6 |
| e:\cnc_clone\src\assets\images\shield-check.svg                           | XML        |          4 |          0 |          0 |          4 |
| e:\cnc_clone\src\assets\styles\_mixins.scss                               | SCSS       |         47 |          7 |          8 |         62 |
| e:\cnc_clone\src\assets\styles\_variables.scss                            | SCSS       |         38 |         10 |          9 |         57 |
| e:\cnc_clone\src\assets\styles\auth.scss                                  | SCSS       |          0 |          0 |          1 |          1 |
| e:\cnc_clone\src\assets\styles\index.scss                                 | SCSS       |         25 |          3 |          3 |         31 |
| e:\cnc_clone\src\assets\styles\main.scss                                  | SCSS       |         47 |          7 |          6 |         60 |
| e:\cnc_clone\src\components\Cert\cert.vue                                 | Vue        |          0 |          0 |          1 |          1 |
| e:\cnc_clone\src\components\CouponCenter\BannerSection.vue                | Vue        |         14 |          0 |          1 |         15 |
| e:\cnc_clone\src\components\CouponCenter\CouponsCenter.vue                | Vue        |        177 |          7 |         28 |        212 |
| e:\cnc_clone\src\components\CouponCenter\NewUserCoupons.vue               | Vue        |        108 |          1 |         13 |        122 |
| e:\cnc_clone\src\components\CustomerGuidance\2D.vue                       | Vue        |         12 |          2 |          2 |         16 |
| e:\cnc_clone\src\components\CustomerGuidance\KeepSecret.vue               | Vue        |         12 |          2 |          2 |         16 |
| e:\cnc_clone\src\components\CustomerGuidance\cnc.vue                      | Vue        |        100 |          0 |          2 |        102 |
| e:\cnc_clone\src\components\CustomerGuidance\hand.vue                     | Vue        |         12 |          2 |          2 |         16 |
